epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
13 ,0,0,0,0,0,0,3456,0,3456,20736,0,20736,0,0,0,0,0,0,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,451584,451584,0,23030784,0.0253248,451584,0.0409685,451584,0.0170678,43.4884,0.0283044,10.3667,0.00561625
14 ,0,0,0,0,0,0,10368,0,10368,62208,0,62208,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461952,0,0,451584,66382848,0.0729951,451584,0.0409685,451584,0.0170678,48.7588,0.0317346,13.734,0.00744054
15 ,0,0,0,0,0,0,3456,0,3456,6912,0,6912,451584,0,451584,23520,0,23520,0,75264,75264,0,11760,11760,75264,0,75264,11760,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229248,75264,301056,0,21901824,0.0240834,75264,0.00682808,75264,0.00284463,66.294,0.00719123,46.5815,0.004206
16 ,0,0,0,0,0,0,3456,0,3456,20736,0,20736,0,451584,451584,0,70560,70560,451584,0,451584,70560,0,70560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,455040,0,23030784,0.0253248,451584,0.0409685,451584,0.0170678,43.4884,0.0283044,10.3667,0.00561625
17 ,0,0,0,0,0,0,10368,0,10368,62208,0,62208,451584,0,451584,70560,0,70560,0,112896,112896,0,17640,17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,10368,112896,16595712,0.0182488,451584,0.0409685,451584,0.0170678,29.4259,0.0191518,10.6963,0.00579485
18 ,0,0,0,0,0,0,4608,0,4608,9216,0,9216,0,25088,25088,0,3920,3920,225792,0,225792,11760,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117504,0,112896,25088,7275520,0.00800022,37632,0.00341404,37632,0.00142231,48.998,0.00265753,57.4354,0.00259302
19 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,6144,150528,10085376,0.01109,150528,0.0136562,150528,0.00568925,62.8638,0.0136383,19.2068,0.0034685
20 ,0,0,0,0,0,0,13824,0,13824,82944,0,82944,150528,150528,301056,23520,23520,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,0,13824,150528,22127616,0.0243317,150528,0.0136562,150528,0.00568925,53.165,0.0115341,28.8871,0.00521662
21 ,0,0,0,0,0,0,6144,0,6144,12288,0,12288,326144,25088,351232,19600,3920,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,25088,181760,0,9709056,0.0106762,50176,0.00455205,54880,0.00207421,48.6304,0.00351679,59.0768,0.00355616
22 ,0,0,0,0,0,0,6144,0,6144,36864,0,36864,200704,150528,351232,31360,23520,54880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,0,6144,150528,10085376,0.01109,150528,0.0136562,150528,0.00568925,62.8638,0.0136383,19.2068,0.0034685
